Let me start by exploring the repository structure to understand what I'm auditing.
wasm_frontend/src/application: 18 files
   atlas.rs (17054)
   body.rs (23829)
   chunk_archive.rs (34394)
   collision.rs (9869)
   engine.rs (109341)
   flares.rs (8901)
   generation_worker_policy.rs (6760)
   mod.rs (634)
   navigation.rs (9764)
   perf_governor.rs (4045)
   player.rs (9158)
   ports.rs (30583)
   prepare_frame_lighting.rs (4028)
   quality.rs (2530)
   render_settings.rs (11290)
   streaming.rs (21327)
   survival_inventory.rs (10252)
   thermal.rs (5684)
wasm_frontend/src/application/engine: 4 files
   noclip.rs (2216)
   peripheral_shift.rs (14382)
   presenter.rs (14388)
   route.rs (2205)
wasm_frontend/src/application/rendering: 2 files
   camera.rs (4184)
   mod.rs (17485)

Let me look at the overall repo structure and then start reading files. The scope includes:
- wasm_frontend/src/application/** (25 files)
- wasm_frontend/src/lib.rs

Let me first check lib.rs and get file line counts, then read each file in full. Let me start with the smaller files and work up to engine.rs (2718 lines, 109KB).
  2718  wasm_frontend/src/application/engine.rs
  1179  wasm_frontend/src/lib.rs
  1049  wasm_frontend/src/bin/play/app.rs
   982  wasm_frontend/src/drivers/browser.rs
   947  wasm_frontend/src/drivers/webgpu/config.rs
   881  wasm_frontend/src/adapters/cpu_splatter/tests.rs
   872  wasm_frontend/src/application/chunk_archive.rs
   835  wasm_frontend/src/adapters/local_chunk_source.rs
   772  wasm_frontend/src/application/ports.rs
   727  wasm_frontend/src/adapters/cpu_surfel.rs
   675  wasm_frontend/src/application/body.rs
   653  wasm_frontend/src/drivers/webgpu/pipelines/raymarch.rs
   648  wasm_frontend/src/adapters/cpu_splatter/raycast.rs
   627  wasm_frontend/src/adapters/chunk_codec.rs
   594  wasm_frontend/src/application/streaming.rs
   580  wasm_frontend/src/drivers/surface_webgl/draw.rs
   536  wasm_frontend/src/application/rendering/mod.rs
   506  wasm_frontend/src/adapters/archived_chunk_source.rs
   494  wasm_frontend/src/adapters/cpu_splatter/rasterizer/write_depth_tested_splats.rs
   491  wasm_frontend/src/drivers/splat_webgl/draw.rs
   479  wasm_frontend/src/adapters/collect_emissive_lights.rs
   478  wasm_frontend/src/bin/play/terminal.rs
   466  wasm_frontend/src/drivers/webgpu/pipelines/raster_shadow.rs
   464  wasm_frontend/src/drivers/webgpu/pipelines/splat.rs
   448  wasm_frontend/src/drivers/webgpu/gpu_types.rs
   437  wasm_frontend/src/adapters/surfel_cloud.rs
   437  wasm_frontend/src/adapters/cpu_splatter/rasterizer/traverse_voxel_scene/mod.rs
   436  wasm_frontend/src/application/atlas.rs
   421  wasm_frontend/src/adapters/cpu_splatter/rasterizer.rs
   420  wasm_frontend/src/drivers/webgpu/renderer.rs
   373  wasm_frontend/src/adapters/cpu_splatter/shading/evaluate_fixture_irradiance.rs
   371  wasm_frontend/src/drivers/webgpu/pipelines/surface.rs
   369  wasm_frontend/src/drivers/webgpu/shader.rs
   369  wasm_frontend/src/drivers/shaders/splat.rs
   362  wasm_frontend/src/adapters/query_config.rs
   349  wasm_frontend/src/application/engine/presenter.rs
   343  wasm_frontend/src/drivers/worker_source.rs
   338  wasm_frontend/src/adapters/surface_mesh.rs
   335  wasm_frontend/src/adapters/cpu_splatter/flashlight.rs
   332  wasm_frontend/src/drivers/shaders/surfel.rs
   330  wasm_frontend/src/drivers/browser/input_bindings.rs
   329  wasm_frontend/src/drivers/raymarch_reference_renderer.rs
   329  wasm_frontend/src/application/engine/peripheral_shift.rs
   322  wasm_frontend/src/adapters/face_instances.rs
   312  wasm_frontend/src/adapters/cpu_splatter/shading/tests.rs
   311  wasm_frontend/src/drivers/webgpu/pipelines/surfel.rs
   301  wasm_frontend/src/drivers/surfel_webgl/draw.rs
   297  wasm_frontend/src/application/collision.rs
   294  wasm_frontend/src/application/survival_inventory.rs
   293  wasm_frontend/src/drivers/webgl/atlas.rs
   282  wasm_frontend/src/application/render_settings.rs
   281  wasm_frontend/src/adapters/cpu_splatter/atlas.rs
   279  wasm_frontend/src/application/player.rs
   276  wasm_frontend/src/drivers/webgl/draw.rs
   272  wasm_frontend/src/drivers/webgpu/pipelines/supply_labels.rs
   262  wasm_frontend/src/drivers/shaders/trace_voxel_scene/intersect_voxel_scene.rs
   259  wasm_frontend/src/application/flares.rs
   254  wasm_frontend/src/drivers/generation_worker_requests.rs
   252  wasm_frontend/src/drivers/splat_webgl/resources.rs
   248  wasm_frontend/src/adapters/cpu_splatter/rasterizer/project_aabb_footprint.rs
   247  wasm_frontend/src/drivers/gl/visibility.rs
   245  wasm_frontend/src/application/navigation.rs
   236  wasm_frontend/src/adapters/input.rs
   233  wasm_frontend/src/drivers/webgl/mod.rs
   229  wasm_frontend/src/adapters/cpu_splatter/update_atlas_rows.rs
   222  wasm_frontend/src/drivers/gl/cluster_scene_lights.rs
   221  wasm_frontend/src/drivers/webgpu/pipelines/cpu_present.rs
   220  wasm_frontend/src/drivers/shaders/chunks.rs
   210  wasm_frontend/src/adapters/cpu_splatter/surface_geometry/project_surface_depth.rs
   210  wasm_frontend/src/adapters/block_cache.rs
   207  wasm_frontend/src/drivers/webgpu/pipelines/visibility.rs
   207  wasm_frontend/src/drivers/surface_webgl/mod.rs
   203  wasm_frontend/src/drivers/shaders/trace_voxel_scene/mod.rs
   202  wasm_frontend/src/drivers/file_archive.rs
   195  wasm_frontend/src/drivers/splat_webgl/mod.rs
   193  wasm_frontend/src/adapters/cpu_splatter/rasterizer/frame_work_budget.rs
   183  wasm_frontend/src/adapters/section_locator.rs
   180  wasm_frontend/src/adapters/cpu_splatter/rasterizer/resolve_hero_light_visibility.rs
   176  wasm_frontend/src/application/generation_worker_policy.rs
   171  wasm_frontend/src/drivers/surfel_webgl/mod.rs
   155  wasm_frontend/src/drivers/webgpu/browser_context.rs
   154  wasm_frontend/src/drivers/surfel_webgl/resources.rs
   153  wasm_frontend/src/adapters/cpu_splatter/rasterizer/select_lights_for_chunk.rs
   148  wasm_frontend/src/application/thermal.rs
   136  wasm_frontend/src/application/rendering/camera.rs
   133  wasm_frontend/src/adapters/cpu_splatter/surface_geometry/surface_exposure.rs
   132  wasm_frontend/src/drivers/shaders/render_world_surfaces/mod.rs
   132  wasm_frontend/src/drivers/gl/lights.rs
   132  wasm_frontend/src/adapters/cpu_splatter/rasterizer/render_cpu_frame.rs
   129  wasm_frontend/src/drivers/surface_webgl/resources.rs
   126  wasm_frontend/src/drivers/webgpu/frame_resources.rs
   126  wasm_frontend/src/adapters/cpu_splatter/settings/mod.rs
   124  wasm_frontend/src/adapters/cpu_splatter/shading/shade_visible_splat.rs
   121  wasm_frontend/src/drivers/gl/math.rs
   120  wasm_frontend/src/drivers/surfel_layout.rs
   119  wasm_frontend/src/adapters/cpu_splatter/settings/validation.rs
   117  wasm_frontend/src/application/prepare_frame_lighting.rs
   113  wasm_frontend/src/application/perf_governor.rs
   112  wasm_frontend/src/drivers/shaders/trace_voxel_scene/trace_direct_light_visibility.rs
   110  wasm_frontend/src/drivers/gl/upload_scene_lights.rs
   109  wasm_frontend/src/drivers/cpu_canvas.rs
   102  wasm_frontend/src/drivers/shaders/evaluate_scene_lighting.rs
   100  wasm_frontend/src/adapters/cpu_splatter/settings/quality_preset.rs
    99  wasm_frontend/src/reference/room.rs
    99  wasm_frontend/src/adapters/cpu_splatter/shading/mod.rs
    98  wasm_frontend/src/adapters/cpu_splatter/shading/trace_direct_light_visibility.rs
    94  wasm_frontend/src/drivers/gl/timer.rs
    92  wasm_frontend/src/drivers/shaders/trace_voxel_scene/decode_voxel_atlas.rs
    90  wasm_frontend/src/adapters/cpu_splatter/surface_geometry/tests.rs
    89  wasm_frontend/src/drivers/shaders/supply_labels.rs
    86  wasm_frontend/src/application/quality.rs
    84  wasm_frontend/src/adapters/cpu_splatter/rasterizer/traverse_voxel_scene/visit_voxel_octants.rs
    83  wasm_frontend/src/adapters/cpu_splatter/rasterizer/traverse_voxel_scene/project_voxel_node.rs
    81  wasm_frontend/src/adapters/cpu_splatter/surface_geometry/select_surface_normal.rs
    79  wasm_frontend/src/drivers/shaders/trace_voxel_scene/shade_voxel_hit.rs
    77  wasm_frontend/src/reference/scene.rs
    75  wasm_frontend/src/drivers/gl/program.rs
    72  wasm_frontend/src/adapters/cpu_splatter/rasterizer/traverse_voxel_scene/select_voxel_detail.rs
    68  wasm_frontend/src/drivers/gl/shadow_target.rs
    68  wasm_frontend/src/adapters/cpu_splatter/rasterizer/draw_visible_flare_cores.rs
    68  wasm_frontend/src/adapters/cpu_splatter/camera.rs
    64  wasm_frontend/src/reference/renderer.rs
    64  wasm_frontend/src/drivers/shaders/render_world_surfaces/compose_surface_lighting.rs
    61  wasm_frontend/src/drivers/shaders/trace_voxel_scene/decode_brick_voxel.rs
    59  wasm_frontend/src/drivers/gl/light_volume.rs
    57  wasm_frontend/src/application/engine/noclip.rs
    56  wasm_frontend/src/adapters/cpu_splatter/shading/surface_reconstruction.rs
    54  wasm_frontend/src/drivers/fs_artifact_sink.rs
    54  wasm_frontend/src/adapters/cpu_splatter/shading/evaluate_emission.rs
    48  wasm_frontend/src/application/engine/route.rs
    44  wasm_frontend/src/adapters/cpu_splatter/mod.rs
    43  wasm_frontend/src/drivers/mod.rs
    43  wasm_frontend/src/adapters/cpu_splatter/decode_srgb_albedo.rs
    42  wasm_frontend/src/drivers/shaders/trace_voxel_scene/select_nearest_voxel_hit.rs
    40  wasm_frontend/src/drivers/shaders/render_world_surfaces/reconstruct_surface.rs
    38  wasm_frontend/src/adapters/cpu_splatter/surface_geometry/propagate_exposure_to_octant.rs
    38  wasm_frontend/src/adapters/cpu_splatter/shading/present_radiance.rs
